edition_id,subedition_id,circ,floor_usd
8d7f02e9-96e8-410e-b701-f787e8ca83df+bbb23c17-980e-4879-a255-9cd0f3ff006d,0,99,200
9023d094-b69d-434d-943e-609b7686f6b6+59d172fa-1099-4f17-bf03-779606609762,0,74,2525
9023d094-b69d-434d-943e-609b7686f6b6+7e8d06e5-c6cb-45f9-8591-de414b8857b5,0,74,750
902b6c87-0e91-4768-a660-195fc0173f14+8a4e1293-5c91-4b31-8851-a59a1397e8a8,0,11,300
9397848a-4c46-4b66-83dc-bf2d8d92cc83+c820f075-e15e-4c66-8101-6ed4921d8ad6,0,117,560
93eff992-537d-4027-898b-596c3579273e+5cf50b47-6564-422d-aece-208c416c5794,0,50,525
93eff992-537d-4027-898b-596c3579273e+882500d7-440e-4e36-b421-4b355c4928c3,0,50,1700
93eff992-537d-4027-898b-596c3579273e+efe204c7-bf87-4756-a04c-517bf7cadcef,0,50,477
94a12e38-b097-4610-b979-145036abe75b+52a68252-f3ee-4345-9ef8-2a86b8d79e43,21,5,450
94a12e38-b097-4610-b979-145036abe75b+52a68252-f3ee-4345-9ef8-2a86b8d79e43,22,1,
94a12e38-b097-4610-b979-145036abe75b+52a68252-f3ee-4345-9ef8-2a86b8d79e43,0,43,165
97eade76-c258-4a98-8a34-9adcb4f96b7a+16635099-5a52-4050-b2c5-526ddc05bddb,19,23,325
97eade76-c258-4a98-8a34-9adcb4f96b7a+16635099-5a52-4050-b2c5-526ddc05bddb,20,10,575
97eade76-c258-4a98-8a34-9adcb4f96b7a+16635099-5a52-4050-b2c5-526ddc05bddb,0,94,229
9e03ce90-f80a-4a69-b453-b3d27bd1f07a+25372ae3-d3ed-41bb-bc1b-715a477924b1,0,59,899
9e3a6abe-9971-4b97-b21a-7b5a6c112ab5+1f01ff26-5134-48b2-accc-6e7629234c7f,0,242,15
9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+f745d125-0e01-48f8-b1d7-abc44eff5739,0,981,1
a494c64e-9e93-418c-8934-f331ee47a39b+0f883540-25fa-4fc9-9ee8-f1354d687b9c,0,58,3999
a494c64e-9e93-418c-8934-f331ee47a39b+1607a057-2b78-41a8-9cee-78f3ea5e6bd8,0,25,2649
a494c64e-9e93-418c-8934-f331ee47a39b+51f4281b-a87f-47bc-ba21-eec09f1a7730,0,57,450
a494c64e-9e93-418c-8934-f331ee47a39b+a7dfd16d-3674-4f88-9500-600dabfca6bb,0,58,539
a494c64e-9e93-418c-8934-f331ee47a39b+b3eaf03e-a764-4959-9eae-9442f06d1217,0,59,1555
a59e2336-b33a-4eef-84fd-745d7a915a9b+29b2e423-3143-41c5-ab02-9f5397521172,0,190,180
a59e2336-b33a-4eef-84fd-745d7a915a9b+fa8170df-05fb-498a-8778-5e4f7b023d12,0,534,17
a61f2313-932a-491d-a48d-99e5e5a5d6bb+01cb3c3a-d24c-4c42-99ec-0cc2e38ac65d,19,24,135
a61f2313-932a-491d-a48d-99e5e5a5d6bb+01cb3c3a-d24c-4c42-99ec-0cc2e38ac65d,20,9,999
a61f2313-932a-491d-a48d-99e5e5a5d6bb+01cb3c3a-d24c-4c42-99ec-0cc2e38ac65d,0,121,99
a61f2313-932a-491d-a48d-99e5e5a5d6bb+36d8f2e6-d8be-4047-9623-7a21987ff382,19,23,425
a61f2313-932a-491d-a48d-99e5e5a5d6bb+36d8f2e6-d8be-4047-9623-7a21987ff382,20,9,2800
